	Id	Part2B	Part2T	Part1	Ref_Name
845	bnu				Bentong
846	bnv				Bonerif
847	bnw				Bisis
848	bnx				Bangubangu
849	bny				Bintulu
850	bnz				Beezen
851	boa				Bora
852	bob				Aweer
853	bod	tib	bod	bo	Tibetan
854	boe				Mundabli
855	bof				Bolon
856	bog				Bamako Sign Language
857	boh				Boma
858	boi				Barbareño
859	boj				Anjam
860	bok				Bonjo
861	bol				Bole
862	bom				Berom
863	bon				Bine
864	boo				Tiemacèwè Bozo
865	bop				Bonkiman
866	boq				Bogaya
867	bor				Borôro
868	bos	bos	bos	bs	Bosnian
869	bot				Bongo
870	bou				Bondei
871	bov				Tuwuli
872	bow				Rema
873	box				Buamu
874	boy				Bodo (Central African Republic)
875	boz				Tiéyaxo Bozo
876	bpa				Daakaka
877	bpd				Banda-Banda
878	bpg				Bonggo
879	bph				Botlikh
880	bpi				Bagupi
881	bpj				Binji
882	bpk				Orowe
883	bpl				Broome Pearling Lugger Pidgin
884	bpm				Biyom
885	bpn				Dzao Min
886	bpo				Anasi
887	bpp				Kaure
888	bpq				Banda Malay
889	bpr				Koronadal Blaan
890	bps				Sarangani Blaan
891	bpt				Barrow Point
892	bpu				Bongu
893	bpv				Bian Marind
894	bpw				Bo (Papua New Guinea)
895	bpx				Palya Bareli
896	bpy				Bishnupriya
897	bpz				Bilba
898	bqa				Tchumbuli
899	bqb				Bagusa
900	bqc				Boko (Benin)
901	bqd				Bung
902	bqf				Baga Kaloum
903	bqg				Bago-Kusuntu
904	bqh				Baima
905	bqi				Bakhtiari
906	bqj				Bandial
907	bqk				Banda-Mbrès
908	bql				Bilakura
909	bqm				Wumboko
910	bqn				Bulgarian Sign Language
911	bqo				Balo
912	bqp				Busa
913	bqq				Biritai
914	bqr				Burusu
915	bqs				Bosngun
916	bqt				Bamukumbit
917	bqu				Boguru
918	bqv				Koro Wachi
919	bqw				Buru (Nigeria)
920	bqx				Baangi
921	bqy				Bengkala Sign Language
922	bqz				Bakaka
923	bra	bra	bra		Braj
924	brb				Lave
925	brc				Berbice Creole Dutch
926	brd				Baraamu
927	bre	bre	bre	br	Breton
928	brf				Bira
929	brg				Baure
930	brh				Brahui
931	bri				Mokpwe
932	brj				Bieria
933	brk				Birked
934	brl				Birwa
935	brm				Barambu
936	brn				Boruca
937	bro				Brokkat
938	brp				Barapasi
939	brq				Breri
940	brr				Birao
941	brs				Baras
942	brt				Bitare
943	bru				Eastern Bru
944	brv				Western Bru
945	brw				Bellari
946	brx				Bodo (India)
947	bry				Burui
948	brz				Bilbil
949	bsa				Abinomn
950	bsb				Brunei Bisaya
951	bsc				Bassari
952	bse				Wushi
953	bsf				Bauchi
954	bsg				Bashkardi
955	bsh				Kati
956	bsi				Bassossi
957	bsj				Bangwinji
958	bsk				Burushaski
959	bsl				Basa-Gumna
960	bsm				Busami
961	bsn				Barasana-Eduria
962	bso				Buso
963	bsp				Baga Sitemu
964	bsq				Bassa
965	bsr				Bassa-Kontagora
966	bss				Akoose
967	bst				Basketo
968	bsu				Bahonsuai
969	bsv				Baga Sobané
970	bsw				Baiso
971	bsx				Yangkam
972	bsy				Sabah Bisaya
973	bta				Bata
974	btc				Bati (Cameroon)
975	btd				Batak Dairi
976	bte				Gamo-Ningi
977	btf				Birgit
978	btg				Gagnoa Bété
979	bth				Biatah Bidayuh
980	bti				Burate
981	btj				Bacanese Malay
982	btm				Batak Mandailing
983	btn				Ratagnon
984	bto				Rinconada Bikol
985	btp				Budibud
986	btq				Batek
987	btr				Baetora
988	bts				Batak Simalungun
989	btt				Bete-Bendi
990	btu				Batu
991	btv				Bateri
992	btw				Butuanon
993	btx				Batak Karo
994	bty				Bobot
995	btz				Batak Alas-Kluet
996	bua	bua	bua		Buriat
997	bub				Bua
998	buc				Bushi
999	bud				Ntcham
1000	bue				Beothuk
1001	buf				Bushoong
1002	bug	bug	bug		Buginese
1003	buh				Younuo Bunu
1004	bui				Bongili
1005	buj				Basa-Gurmana
1006	buk				Bugawac
1007	bul	bul	bul	bg	Bulgarian
1008	bum				Bulu (Cameroon)
1009	bun				Sherbro
1010	buo				Terei
1011	bup				Busoa
1012	buq				Brem
1013	bus				Bokobaru
1014	but				Bungain
1015	buu				Budu
1016	buv				Bun
1017	buw				Bubi
1018	bux				Boghom
1019	buy				Bullom So
1020	buz				Bukwen
1021	bva				Barein
1022	bvb				Bube
1023	bvc				Baelelea
1024	bvd				Baeggu
1025	bve				Berau Malay
1026	bvf				Boor
1027	bvg				Bonkeng
1028	bvh				Bure
1029	bvi				Belanda Viri
1030	bvj				Baan
1031	bvk				Bukat
1032	bvl				Bolivian Sign Language
1033	bvm				Bamunka
1034	bvn				Buna
1035	bvo				Bolgo
1036	bvp				Bumang
1037	bvq				Birri
1038	bvr				Burarra
1039	bvt				Bati (Indonesia)
1040	bvu				Bukit Malay
1041	bvv				Baniva
1042	bvw				Boga
1043	bvx				Dibole
1044	bvy				Baybayanon
1045	bvz				Bauzi
1046	bwa				Bwatoo
1047	bwb				Namosi-Naitasiri-Serua
1048	bwc				Bwile
1049	bwd				Bwaidoka
1050	bwe				Bwe Karen
1051	bwf				Boselewa
1052	bwg				Barwe
1053	bwh				Bishuo
1054	bwi				Baniwa
1055	bwj				Láá Láá Bwamu
1056	bwk				Bauwaki
1057	bwl				Bwela
1058	bwm				Biwat
1059	bwn				Wunai Bunu
1060	bwo				Boro (Ethiopia)
1061	bwp				Mandobo Bawah
1062	bwq				Southern Bobo Madaré
1063	bwr				Bura-Pabir
1064	bws				Bomboma
1065	bwt				Bafaw-Balong
1066	bwu				Buli (Ghana)
1067	bww				Bwa
1068	bwx				Bu-Nao Bunu
1069	bwy				Cwi Bwamu
1070	bwz				Bwisi
1071	bxa				Tairaha
1072	bxb				Belanda Bor
1073	bxc				Molengue
1074	bxd				Pela
1075	bxe				Birale
1076	bxf				Bilur
1077	bxg				Bangala
1078	bxh				Buhutu
1079	bxi				Pirlatapa
1080	bxj				Bayungu
1081	bxk				Bukusu
1082	bxl				Jalkunan
1083	bxm				Mongolia Buriat
1084	bxn				Burduna
1085	bxo				Barikanchi
1086	bxp				Bebil
1087	bxq				Beele
1088	bxr				Russia Buriat
1089	bxs				Busam
1090	bxu				China Buriat
1091	bxv				Berakou
1092	bxw				Bankagooma
1093	bxz				Binahari
1094	bya				Batak
1095	byb				Bikya
1096	byc				Ubaghara
1097	byd				Benyadu'
1098	bye				Pouye
1099	byf				Bete
1100	byg				Baygo
1101	byh				Bhujel
1102	byi				Buyu
1103	byj				Bina (Nigeria)
1104	byk				Biao
1105	byl				Bayono
1106	bym				Bidjara
1107	byn	byn	byn		Bilin
1108	byo				Biyo
1109	byp				Bumaji
1110	byq				Basay
1111	byr				Baruya
1112	bys				Burak
